,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
2044,Pocket Books,Jude Deveraux,None,2012-09-16,STRANGER IN THE MOONLIGHT,0,4
2045,Penguin Group,Beth Kery,None,2012-09-16,BECAUSE YOU ARE MINE PART V,0,6
2046,Simon & Schuster,Brad Thor,1439193061,2012-09-16,BLACK LIST,0,2
2047,Penguin Group,Beth Kerry,1101608528,2012-09-09,BECAUSE YOU ARE MINE PART IV,0,6
2048,Grand Central Publishing,David Baldacci,0446573027,2012-09-09,ZERO DAY,0,2
2049,Delacorte Press,Lee Child,None,2012-09-09,DEEP DOWN,0,2
2050,Random House Publishing,Dean Koontz,0345533585,2012-09-09,ODD APOCALYPSE,0,2
2051,"Little, Brown & Company",James Patterson and Michael Ledwidge,0316097470,2012-09-02,"I, MICHAEL BENNETT",0,3
2052,Penguin Group,W E B Griffin and William E Butterworth IV,None,2012-08-26,THE SPYMASTERS,0,2
2053,HarperCollins Publishers,Daniel Silva,0062073176,2012-08-26,THE FALLEN ANGEL,0,3
2054,Random House Publishing,Danielle Steel,0345533569,2012-08-26,FRIENDS FOREVER,0,2
2055,HarperCollins Publishers,Lynsay Sands,None,2012-08-19,THE LADY IS A VAMP,0,5
2056,Grand Central Publishing,Jill Shalvis,1455503703,2012-08-19,FOREVER AND A DAY,0,4
2057,Penguin Group,Kay Hooper,None,2012-08-19,HAVEN,0,1
2058,Random House Publishing,John Grisham,034553056X,2012-08-12,THE LITIGATORS,0,2
2059,Penguin Group,Catherine Coulter,None,2012-08-12,BACKFIRE,0,1
2060,Rerum Publishing House,R L Mathewson,None,2012-08-12,PLAYING FOR KEEPS,0,3
2061,St. Martin's Press,Iris Johansen and Roy Johansen,None,2012-08-05,CLOSE YOUR EYES,0,3
2062,Atria Books,Jennifer Weiner,1451617771,2012-08-05,THE NEXT BEST THING,0,4
2063,Penguin Group,Deborah Harkness,None,2012-08-05,A DISCOVERY OF WITCHES,0,4
2064,Random House Publishing,Karin Slaughter,0345528514,2012-07-29,CRIMINAL,0,1
2065,Penguin Group,Linda Fairstein,None,2012-07-29,NIGHT WATCH,0,2
2066,"Little, Brown & Company",Elin Hilderbrand,0316202479,2012-07-22,SUMMERLAND,0,1
2067,"Little, Brown & Company",James Patterson and Maxine Paetro,0316097489,2012-07-22,11TH HOUR,0,2
2068,HarperCollins Publishers,James Rollins,0062194909,2012-07-22,BLOODLINE,0,1
2069,Grand Central Publishing,David Baldacci,0446573000,2012-07-22,THE INNOCENT,0,2
2070,Random House Publishing,Karen Thompson Walker,0679644385,2012-07-22,THE AGE OF MIRACLES,0,4
2071,HQN,Gena Showalter,None,2012-07-15,WICKED NIGHTS,0,2
2072,Knopf Doubleday Publishing,John Grisham,0385536089,2012-07-08,CALICO JOE,0,2
2073,Berkley,Nora Roberts,None,2012-07-08,THE LAST BOYFRIEND,0,3
2074,Penguin Group,Clive Cussler and Graham Brown,None,2012-07-08,THE STORM,0,2
2075,Grand Central Publishing,Nicholas Sparks,0446542180,2012-07-08,THE LUCKY ONE,0,3
2076,Kensington,Lisa Jackson,None,2012-07-01,AFRAID TO DIE,0,3
2077,Random House Publishing,Karin Slaughter,0345538161,2012-06-24,SNATCHED,0,1
2078,Random House Publishing,George R R Martin,055389787X,2012-06-24,A STORM OF SWORDS,0,4
2079,Putnam,Nora Roberts,None,2012-06-17,THE WITNESS,0,2
2080,Random House Publishing,Janet Evanovich,0345527739,2012-06-10,EXPLOSIVE EIGHTEEN,0,2
2081,Random House Publishing,Steve Berry,0345526538,2012-06-10,THE COLUMBUS AFFAIR,0,3
2082,Grand Central Publishing,Larissa Ione,1455511153,2012-06-10,LETHAL RIDER,0,2
2083,Simon & Schuster,John Irving,145166415X,2012-06-03,IN ONE PERSON,0,3
2084,Hyperion Press,Richard Castle,1401394760,2012-05-27,HEAT WAVE,0,2
2085,"Little, Brown & Company",James Patterson and David Ellis,0316097578,2012-05-27,GUILTY WIVES,0,2
2086,Harlequin,Ron Carr,0778313174,2012-05-20,SUNRISE POINT,0,2
2087,Hyperion,Richard Castle,None,2012-05-20,A BREWING STORM,0,3
2088,Penguin Group,Ace Atkins,None,2012-05-20,ROBERT B. PARKER'S LULLABY,0,4
2089,Knopf Doubleday Publishing,Stieg Larsson,0307593673,2012-05-20,THE GIRL WHO KICKED THE HORNET'S NEST,0,7
2090,Penguin Group,Ace Atkins,None,2012-05-20,ROBERT B. PARKER'S LULLABY,0,4
2091,Knopf Doubleday Publishing,Stieg Larsson,0307593673,2012-05-20,THE GIRL WHO KICKED THE HORNET'S NEST,0,7
2092,Random House Publishing,Kevin Hearne,0345534638,2012-05-13,TRICKED,0,1
2093,Simon & Schuster,Mary Higgins Clark,1451668937,2012-05-06,THE LOST YEARS,0,3
2094,St. Martin's Press,Jeffrey Archer,1429954027,2012-05-06,A MATTER OF HONOR,0,4
2095,Knopf Doubleday Publishing,Stieg Larsson,0307272303,2012-05-06,THE GIRL WHO PLAYED WITH FIRE,0,6
2096,Random House Publishing,Danielle Steel,0345532341,2012-04-29,BETRAYAL,0,1
2097,Penguin Group,Nora Roberts,0515150630,2012-04-29,CHASING FIRE,0,2
2098,New American Library,J R Ward,None,2012-04-22,LOVER REBORN,0,2
2099,Delacorte,Lee Child,044024630X,2012-04-22,THE AFFAIR,0,2
2100,HarperCollins Publishers,Jacqueline Winspear,0062049577,2012-04-15,ELEGY FOR EDDIE,0,3
2101,HarperCollins Publishers,Kerrelyn Sparks,0062096605,2012-04-15,WANTED: UNDEAD OR ALIVE,0,4
2102,Atria Books,Jodi Picoult,1439149690,2012-04-15,LONE WOLF,0,2
2103,Simon & Schuster,Lisa Lutz,1416539204,2012-04-15,THE SPELLMAN FILES,0,3
2104,Random House Publishing,Jonathan Kellerman,0345532171,2012-04-08,VICTIMS,0,1
2105,Harlequin,Ron Carr,1459222776,2012-04-08,REDWOOD BEND,0,2
2106,HarperCollins Publishers,Ted Bell,006209906X,2012-04-08,PHANTOM,0,1
2107,Penguin Group,Clive Cussler and Justin Scott,None,2012-04-08,THE THIEF,0,2
2108,Scribner,Richard North Patterson,1451617089,2012-04-08,FALL FROM GRACE,0,3
2109,Houghton Mifflin Harcourt,Jonathan Safran Foer,0547416210,2012-04-01,EXTREMELY LOUD AND INCREDIBLY CLOSE,0,5
2110,Kensington,Joanne Fluke,None,2012-03-18,CINNAMON ROLL MURDER,0,3
2111,St. Martin's Press,Susan Wilson,1429959304,2012-03-18,ONE GOOD DOG,0,3
2112,Penguin Group,Alex Berenson,None,2012-03-11,THE SHADOW PATROL,0,3
2113,Grand Central Publishing,James Patterson and Maxine Paetro,0316097411,2012-03-11,PRIVATE: #1 SUSPECT,0,3
2114,St. Martin's Press,Kristin Hannah,1429942215,2012-03-11,HOME FRONT,0,2
2115,Knopf Doubleday Publishing,Anne Rice,0307595110,2012-03-11,THE WOLF GIFT,0,3
2116,Catherine Bybee,Catherine Bybee,None,2012-03-04,WIFE BY WEDNESDAY,0,3
2117,Harlequin,Sherryl Woods,None,2012-02-26,THE SUMMER GARDEN,0,3
2118,Putnam,Robert Crais,None,2012-02-26,TAKEN,0,1
2119,Signet,Catherine Anderson,None,2012-02-19,LUCKY PENNY,0,2
2120,Knopf Doubleday Publishing,P D James,0307959856,2012-02-19,DEATH COMES TO PEMBERLEY,0,4
2121,Pocket Books,Cindy Gerard,1451606869,2012-02-19,LAST MAN STANDING,0,3
2122,Random House Publishing,Tea Obreht,0385343841,2012-02-19,THE TIGER'S WIFE,0,3
2123,HarperCollins Publishers,Elmore Leonard,0062119486,2012-02-12,RAYLAN,0,1
2124,St. Martin's Press,Iris Johansen,0312651287,2012-02-12,BONNIE,0,1
2125,Barbara Freethy,Barbara Freethy,None,2012-02-12,GOLDEN LIES,0,2
2126,Penguin Group,Elizabeth George,0525952586,2012-02-05,BELIEVING THE LIE,0,3
2127,St. Martin's Press,Janet Evanovich and Dorien Kelly,1429952512,2012-01-29,LOVE IN A NUTSHELL,0,4
2128,Penguin Group,Tom Clancy with Mark Greaney,None,2012-01-29,LOCKED ON,0,2
2129,Random House Publishing,Dean Koontz,0345532368,2012-01-22,77 SHADOW STREET,0,3
2130,Penguin Group,Tami Hoag,None,2012-01-15,DOWN THE DARKEST ROAD,0,4
2131,Penguin Group,Stuart Woods,None,2012-01-08,D.C. DEAD,0,2
2132,Penguin Group,WEB Griffin and William E Butterworth IV,None,2012-01-08,COVERT WARRIORS,0,2
2133,"Little, Brown & Company",Chad Harbach,0316126691,2012-01-01,THE ART OF FIELDING,0,4
2134,HarperCollins Publishers,Michael Crichton and Richard Preston,0060873027,2012-01-01,MICRO,0,1
2135,Penguin Group,Barbara Freethy,None,2011-12-25,ALL SHE EVER WANTED,0,4
2136,"Little, Brown & Company",James Patterson and Richard DiLallo,None,2011-12-25,THE CHRISTMAS WEDDING,0,3
2137,Random House Publishing,Diana Gabaldon,0385337515,2011-12-25,THE SCOTTISH PRISONER,0,3
2138,Simon & Schuster,Stephen Hunter,1439149941,2011-12-25,SOFT TARGET,0,2
2139,Harlequin,Diana Palmer,1459281969,2011-12-18,TRUE BLUE AND CARRERA'S BRIDE,0,5
2140,Putnam,Clive Cussler and Graham Brown,0399157824,2011-12-11,DEVIL'S GATE,0,2
2141,Pocket Books,Sabrina Jeffries,None,2011-12-11,TO WED A WILD LORD,0,5
2142,"Farrar, Straus & Giroux",Jeffrey Eugenides,1429969180,2011-12-11,THE MARRIAGE PLOT,0,3
2143,Harlequin,Debbie Macomber,None,2011-12-04,1225 CHRISTMAS TREE LANE,0,4
2144,Random House Publishing,Danielle Steel,0345529200,2011-12-04,HOTEL VENDOME,0,2
2145,Knopf Doubleday Publishing,Haruki Murakami,0307593312,2011-12-04,1Q84,0,1
2146,"Little, Brown & Company",Michael Connelly,None,2011-11-27,ANGLE OF INVESTIGATION,0,3
2147,Penguin Group,John Sandford,None,2011-11-27,SHOCK WAVE,0,2
2148,Houghton Mifflin Harcourt,Umberto Eco,0547577532,2011-11-27,THE PRAGUE CEMETERY,0,3
2149,HarperCollins Publishers,Gregory Maguire,0060548940,2011-11-20,OUT OF OZ,0,3
2150,Chris Culver,Chris Culver,None,2011-11-20,THE ABBEY,0,2
2151,Mira,Ron Carr,0778312712,2011-11-20,BRING ME HOME FOR CHRISTMAS,0,5
2152,Harlequin,Diana Palmer,1459215230,2011-11-13,WYOMING TOUGH,0,2
2153,Random House Publishing,Maya Banks,0345519523,2011-11-13,NEVER LOVE A HIGHLANDER,0,4
2154,Grand Central Publishing,Sandra Brown,None,2011-11-13,LETHAL,0,1
2155,Knopf Doubleday,Erin Morgenstern,0385534647,2011-11-06,THE NIGHT CIRCUS,0,3
2156,Simon & Schuster,Alice Hoffman,1451617496,2011-11-06,THE DOVEKEEPERS,0,2
2157,Grand Central Publishing,James Patterson,0446574716,2011-11-06,CROSS FIRE,0,2
2158,Signet,Harlan Coben,045123491X,2011-10-30,MIRACLE CURE,0,2
2159,St. Martin's,Tatiana de Rosnay,1429985216,2011-10-30,SARAH'S KEY,0,2
2160,Berkley,J D Robb,None,2011-10-23,NEW YORK TO DALLAS,0,4
2161,Wizards of the Coast,R A Salvatore,0786958421,2011-10-23,NEVERWINTER,0,1
2162,Penguin Group,"JD Robb, Mary Blayney, Patricia Gaffney, Ruth Ryan Langan and Mary Kay McComas",None,2011-10-16,THE UNQUIET,0,2
2163,Kensington,Fern Michaels,1420125885,2011-10-16,CHRISTMAS AT TIMBERWOODS,0,3
2164,Hyperion,Richard Castle,1401303919,2011-10-16,HEAT RISES,0,2
2165,Scribner,Stephen King,None,2011-10-09,MILE 81,0,2
2166,Random House,Paula McLain,0345521323,2011-10-09,THE PARIS WIFE,0,3
2167,Penguin Group,Clive Cussler and Justin Scott,0399157816,2011-10-02,THE RACE,0,2
2168,St. Martin's,Michael Savage,0312651619,2011-10-02,ABUSE OF POWER,0,3
2169,Tom Doherty,David Weber,0765321548,2011-10-02,HOW FIRM A FOUNDATION,0,4
2170,Bethany House,Beverly Lewis,076420601X,2011-09-25,THE MERCY,0,2
2171,Random House,Lee Child,None,2011-09-25,SECOND SON,0,2
2172,Knopf Doubleday,David Nicholls,0307946711,2011-09-25,ONE DAY,0,2
2173,Michael Prescott,Michael Prescott,None,2011-09-18,BLIND PURSUIT,0,2
2174,St. Martin's,Tom Perrotta,None,2011-09-18,THE LEFTOVERS,0,2
2175,Simon & Schuster,Kathy Reichs,1439112800,2011-09-18,FLASH AND BONES,0,3
2176,Random House,George R R Martin,0553897853,2011-09-11,A CLASH OF KINGS,0,4
2177,St. Martin's,Janet Evanovich,0312383355,2011-09-11,WICKED APPETITE,0,2
2178,Michael Prescott,Michael Prescott,None,2011-09-11,STEALING FACES,0,2
2179,HarperCollins,Daniel Silva,None,2011-09-04,PORTRAIT OF A SPY,0,4
2180,Dutton,Julie Garwood,None,2011-09-04,THE IDEAL MAN,0,3
2181,Knopf Doubleday,Abraham Verghese,0375714367,2011-09-04,CUTTING FOR STONE,0,3
2182,Simon & Schuster,Jennifer Weiner,1451617747,2011-08-28,THEN CAME YOU,0,3
2183,"Little, Brown",Michael Connelly,0759525773,2011-08-21,THE BLACK ECHO,0,3
2184,Random House,Danielle Steel,0440423317,2011-08-21,HAPPY BIRTHDAY,0,2
2185,HarperCollins,Ann Patchett,0062049828,2011-08-14,STATE OF WONDER,0,3
2186,HarperCollins,Loretta Chase,0061753815,2011-08-14,LORD OF SCOUNDRELS,0,3
2187,Grand Central,David Baldacci,0446583170,2011-08-07,ONE SUMMER,0,2
2188,Grand Central,Eric Van Lustbader,0446564443,2011-08-07,THE BOURNE DOMINION,0,3
2189,Penguin Group,Tom Clancy with Peter Telep,None,2011-07-31,AGAINST ALL ENEMIES,0,3
2190,Random House,George R R Martin,0553900323,2011-07-31,A FEAST FOR CROWS,0,4
2191,Grand Central,David Baldacci,0446571415,2011-07-31,HELL'S CORNER,0,2
2192,Knopf Doubleday,J Courtney Sullivan,0307596818,2011-07-31,MAINE,0,1
2193,Harlequin,Linda Lael Miller,0373776004,2011-07-24,THE CREED LEGACY,0,3
2194,Knopf Doubleday,Barbara Delinsky,0385532733,2011-07-24,ESCAPE,0,1
2195,St. Martin's,Janet Evanovich,0312383312,2011-07-17,SIZZLING SIXTEEN,0,2
2196,"Little, Brown",James Patterson and Maxine Paetro,0316126942,2011-07-17,10TH ANNIVERSARY,0,2
2197,Penguin Group,John Sandford,None,2011-07-10,BURIED PREY,0,2
2198,Simon & Schuster,Jeffery Deaver,1451620691,2011-07-10,CARTE BLANCHE,0,2
2199,Courtney Milan,Courtney Milan,None,2011-07-10,UNLOCKED,0,1
2200,Penguin Group,Clive Cussler with Grant Blackwood,0399157425,2011-07-03,THE KINGDOM,0,2
2202,St. Martin's,Emily Giffin,1429904607,2011-07-03,SOMETHING BORROWED,0,2
2203,Sourcebooks,Susanna Kearsley,140226108X,2011-07-03,THE WINTER SEA,0,3
2204,St. Martin's,Emily Giffin,1429904623,2011-06-26,SOMETHING BLUE,0,2
2205,Random House,Steve Berry,0345530160,2011-06-26,THE JEFFERSON KEY,0,3
2206,Random House,Lisa See,0679604898,2011-06-26,DREAMS OF JOY,0,3
2207,HarperCollins,Lynsay Sands,None,2011-06-19,THE RELUCTANT VAMPIRE,0,3
2208,Harlequin,Lori Foster,None,2011-06-19,TRACE OF FEVER,0,3
2209,Harlequin,Debbie Macomber,None,2011-06-05,A TURN IN THE ROAD,0,5
2210,Penguin Group,Robert B Parker,None,2011-06-05,SIXKILL,0,1
2211,Penguin Group,Nora Roberts,0515149489,2011-05-29,THE SEARCH,0,2
2212,Grand Central,Sherrilyn Kenyon,0446573248,2011-05-15,BORN OF SHADOWS,0,3
2213,Knopf Doubleday,Jennifer Egan,0307477479,2011-05-08,A VISIT FROM THE GOON SQUAD,0,6
2214,St. Martin's,Lisa Scottoline,1429959797,2011-05-08,SAVE ME,0,2
2215,Grand Central,James Patterson and Maxine Paetro,0446565504,2011-05-08,THE 9TH JUDGMENT,0,3
2216,Random House,Jonathan Kellerman,0345524381,2011-05-01,MYSTERY,0,1
2217,Penguin Group,Harlan Coben,None,2011-05-01,LIVE WIRE,0,2
2218,Penguin Group,J R Ward,0451233166,2011-04-24,LOVER UNLEASHED,0,2
2219,HarperCollins,Diane Mott Davidson,0061348155,2011-04-24,CRUNCH TIME,0,2
2220,HarperCollins,Kerrelyn Sparks,006208531X,2011-04-17,VAMPIRE MINE,0,2
2221,Simon & Schuster,Mary Higgins Clark,1439180989,2011-04-17,THE SHADOW OF YOUR SMILE,0,5
2222,Penguin Group,Clive Cussler with Jack Du Brul,None,2011-04-17,THE JUNGLE,0,2
2223,Random House,Suzanne Brockmann,0345521242,2011-04-10,BREAKING THE RULES,0,3
2224,HarperCollins,Jacqueline Winspear,0061727679,2011-04-10,A LESSON IN SECRETS,0,4
2225,"Little, Brown",James Patterson and Michael Ledwidge,0316129186,2011-04-10,TICK TOCK,0,2
2226,Knopf Doubleday,Maeve Binchy,0307595161,2011-04-03,MINDING FRANKIE,0,2
2227,Penguin Group,Patrick Rothfuss,0756404738,2011-04-03,THE WISE MAN'S FEAR,0,4
2228,Harlequin,Debbie Macomber,None,2011-04-03,AN ENGAGEMENT IN SEATTLE,0,4
2229,Penguin Group,J D Robb,None,2011-04-03,TREACHERY IN DEATH,0,3
2230,Penguin Group,Linda Fairstein,0525952020,2011-03-27,SILENT MERCY,0,2
2231,Penguin Group,Patricia Briggs,0441019730,2011-03-27,RIVER MARKED,0,2
2232,Harlequin,Ron Carr,None,2011-03-20,HARVEST MOON,0,2
2233,Simon & Schuster,Kresley Cole,1439136807,2011-03-13,DREAMS OF A DARK WARRIOR,0,5
2234,Penwyck,Nancy C Johnson,0979190916,2011-03-13,HER LAST LETTER,0,3
2235,Harlequin,Susan Wiggs,1426884265,2011-03-06,MARRYING DAISY BELLAMY,0,3
2236,Knopf Doubleday,Dan Brown,1400079144,2011-03-06,THE LOST SYMBOL,0,3
2237,Penguin Group,Sarah Blake,0425238695,2011-03-06,THE POSTMISTRESS,0,2
2238,Simon & Schuster,Chris Cleave,1416589643,2011-03-06,LITTLE BEE,0,2
2239,St. Martin's,Michael Palmer,1429994266,2011-03-06,A HEARTBEAT AWAY,0,3
2240,Grand Central,Brad Meltzer,0446582638,2011-02-27,THE INNER CIRCLE,0,3
2241,Bantam,Lisa Gardner,0553900862,2011-02-27,THE PERFECT HUSBAND,0,3
2242,St. Martin's,Kristin Hannah,0312663153,2011-02-27,WINTER GARDEN,0,2
2243,Random House,Dean Koontz,0553907530,2011-02-27,WHAT THE NIGHT KNOWS,0,4
2244,Tom Doherty,Robert Jordan and Brandon Sanderson,1429960639,2011-02-20,TOWERS OF MIDNIGHT,0,3
2245,Penguin Group,Charles Portis,159020459X,2011-02-20,TRUE GRIT,0,2
2246,Random House,Karen Marie Moning,044033974X,2011-02-20,SHADOWFEVER,0,1
2247,Penguin Group,Nalini Singh,None,2011-02-13,ARCHANGEL'S CONSORT,0,2
2248,Penguin Group,Robert Crais,None,2011-02-13,THE SENTRY,0,2
